"Código.do.Município","Município","Estado","Ano.de.Referência","Prestadores","Serviços","G06A...População.urbana.residente.do.s..município.s..com.abastecimento.de.água..Habitantes.","G06B...População.urbana.residente.do.s..município.s..com.esgotamento.sanitário..Habitantes.","G12A...População.total.residente.do.s..município.s..com.abastecimento.de.água..segundo.o.IBGE..Habitantes.","G12B...População.total.residente.do.s..município.s..com.esgotamento.sanitário..segundo.o.IBGE..Habitantes.","GE008...Quantidade.de.Sedes.municipais.atendidas.com.abastecimento.de.água..Sedes.","GE009...Quantidade.de.Sedes.municipais.atendidas.com.esgotamento.sanitário..Sedes.","GE010...Quantidade.de.Localidades..excluídas.as.sedes..atendidas.com.abastecimento.de.água..Localidades.","GE011...Quantidade.de.Localidades..excluídas.as.sedes..atendidas.com.esgotamento.sanitário..Localidades.","POP_TOT...População.total.do.município.do.ano.de.referência..Fonte..IBGE....Habitantes.","POP_URB...População.urbana.do.município.do.ano.de.referência..Fonte..IBGE....Habitantes."
"220070","Anísio de Abreu","PI","2000","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","3348",,"7166",,"1",,"0",,"7166","3348"
"220070","Anísio de Abreu","PI","2004","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","3545",,"7588",,"1",,"0",,"7588","3545"
"220070","Anísio de Abreu","PI","2001","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","3391",,"7257",,"1",,"0",,"7257","3391"
"220070","Anísio de Abreu","PI","1999","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","1975",,"6663",,"1",,"0",,"6663","1975"
"220070","Anísio de Abreu","PI","1997","","",,,,,,,,,"6577","1949"
"220070","Anísio de Abreu","PI","2015","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","4750",,"9597",,"1",,"0",,"9597","4750"
"220070","Anísio de Abreu","PI","1998","","",,,,,,,,,"6620","1962"
"220090","Aroazes","PI","1995","","",,,,,,,,,"5749","2035"
"220090","Aroazes","PI","2000","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","3171",,"6025",,"1",,"0",,"6025","3171"
"220090","Aroazes","PI","2015","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","3421",,"5763",,"1",,"0",,"5763","3421"
"220090","Aroazes","PI","2013","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","3433",,"5784",,"1",,"0",,"5784","3433"
"220090","Aroazes","PI","1997","","",,,,,,,,,"6102","2160"
"220090","Aroazes","PI","2014","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","3426",,"5773",,"1",,"0",,"5773","3426"
"220090","Aroazes","PI","1996","","",,,,,,,,,"6054","2143"
"220090","Aroazes","PI","2005","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","3233",,"6143",,"1",,"0",,"6143","3233"
"220090","Aroazes","PI","2008","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","3354",,"6025",,"1",,"0",,"6025","3354"
"220090","Aroazes","PI","2012","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","3408",,"5742",,"1",,"0",,"5742","3408"
"220090","Aroazes","PI","1999","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","2188",,"6182",,"1",,"0",,"6182","2188"
"220090","Aroazes","PI","2002","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","3192",,"6065",,"1",,"0",,"6065","3192"
"220090","Aroazes","PI","1998","","",,,,,,,,,"6142","2174"
"220090","Aroazes","PI","2001","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","3175",,"6032",,"1",,"0",,"6032","3175"
"220090","Aroazes","PI","2007","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","3260",,"5857",,"1",,"0",,"5857","3260"
"220090","Aroazes","PI","2009","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA; [22009040] Prefeitura Municipal de Aroazes - PMA","Água; Res Sólidos","3350",,"6019",,"1",,"0",,"6019","3350"
"220090","Aroazes","PI","2006","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","3245",,"6165",,"1",,"0",,"6165","3245"
"220090","Aroazes","PI","2003","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","3202",,"6083",,"1",,"0",,"6083","3202"
"220090","Aroazes","PI","2004","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","3222",,"6122",,"1",,"0",,"6122","3222"
"220090","Aroazes","PI","2011","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","3419",,"5761",,"1",,"0",,"5761","3419"
"220090","Aroazes","PI","2010","[22110000] Águas e Esgotos do Piauí S/A - AGESPISA","Água","3430",,"5779",,"1",,"0",,"5779","3430"
"220095","Aroeiras do Itaim","PI","2009","","",,,,,,,,,"2759","264"
"220095","Aroeiras do Itaim","PI","2006","","",,,,,,,,,"2620","251"
"220095","Aroeiras do Itaim","PI","2011","","",,,,,,,,,"2441","238"
"220095","Aroeiras do Itaim","PI","2010","","",,,,,,,,,"2440","238"
"220095","Aroeiras do Itaim","PI","2005","","",,,,,,,,,"2591","248"
"220095","Aroeiras do Itaim","PI","2014","","",,,,,,,,,"2460","240"
"220095","Aroeiras do Itaim","PI","2013","","",,,,,,,,,"2459","240"
"220095","Aroeiras do Itaim","PI","2012","","",,,,,,,,,"2442","238"
