MUNICIPIO,GEOCODIGO,UF,MICROREGIAO,MESOREGIAO,NOME_UF,Município (ANA),COD_ANA,RESERVATORIO,TIPO DE MANANCIAL,TIPO DE SISTEMA,NOME DO SISTEMA
MALTA,2508802,PB,SOUSA,SERTÃO PARAIBANO,PARAÍBA,Malta,12165,Barragem Eng° Arcoverde,Superficial,Integrado,Sistema Produtor Integrado Coremas- Sabugi
MALTA,2508802,PB,SOUSA,SERTÃO PARAIBANO,PARAÍBA,Malta,12179,Barragem Farinha,Superficial,Integrado,Sistema Produtor Integrado Coremas- Sabugi
MALTA,2508802,PB,SOUSA,SERTÃO PARAIBANO,PARAÍBA,Malta,12226,Barragem Jatobá I,Superficial,Integrado,Sistema Produtor Integrado Coremas- Sabugi
MALTA,2508802,PB,SOUSA,SERTÃO PARAIBANO,PARAÍBA,Malta,12396,Barragem Santa Luzia,Superficial,Integrado,Sistema Produtor Integrado Coremas- Sabugi
MANAÍRA,2509008,PB,SERRA DO TEIXEIRA,SERTÃO PARAIBANO,PARAÍBA,Manaíra,12139,Açude Catolé (Cruz dos Pocinhos),Superficial,Isolado,Manaíra
MARIZÓPOLIS,2509156,PB,SOUSA,SERTÃO PARAIBANO,PARAÍBA,Marizópolis,12409,Açude São Gonçalo,Superficial,Integrado,Sistema Produtor Integrado São Gonçalo
MASSARANDUBA,2509206,PB,CAMPINA GRANDE,AGRESTE PARAIBANO,PARAÍBA,Massaranduba,12275,Açude Massaranduba,Superficial,Isolado,Massaranduba
MATO GROSSO,2509370,PB,CATOLÉ DO ROCHA,SERTÃO PARAIBANO,PARAÍBA,Mato Grosso,12110,Açude Carneiro,Superficial,Integrado,Integrado Carneiro - Mato Grosso
MATURÉIA,2509396,PB,SERRA DO TEIXEIRA,SERTÃO PARAIBANO,PARAÍBA,Maturéia,12372,Riacho das Moças(Teixeira),Superficial,Isolado,Maturéia
MOGEIRO,2509404,PB,ITABAIANA,AGRESTE PARAIBANO,PARAÍBA,Mogeiro,Não_monitorado,1 Poço Amazonas (Rio Paraíba),Subterrâneo,Isolado,Mogeiro
MOGEIRO,2509404,PB,ITABAIANA,AGRESTE PARAIBANO,PARAÍBA,Mogeiro,Não_monitorado,Açude Acauã-Mirim,Superficial,Integrado,Sistema Integrado Acauã Leste
MONTADAS,2509503,PB,ESPERANÇA,AGRESTE PARAIBANO,PARAÍBA,Montadas,Não_monitorado,Barragem do Emidio,Superficial,Isolado,Montadas
MONTE HOREBE,2509602,PB,CAJAZEIRAS,SERTÃO PARAIBANO,PARAÍBA,Monte Horebe,Não_monitorado,Açude Público Municipal,Superficial,Isolado,Monte Horebe
MONTEIRO,2509701,PB,CARIRI OCIDENTAL,BORBOREMA,PARAÍBA,Monteiro,12134,Açude Cordeiro,Superficial,Integrado,Integrado Congo
MONTEIRO,2509701,PB,CARIRI OCIDENTAL,BORBOREMA,PARAÍBA,Monteiro,12339,Açude Pocinhos,Superficial,Isolado,Isolado Monteiro
NATUBA,2509909,PB,UMBUZEIRO,AGRESTE PARAIBANO,PARAÍBA,Natuba,Não_monitorado,Barragem de nível Riacho Caiana,Superficial,Isolado,Natuba
NAZAREZINHO,2510006,PB,SOUSA,SERTÃO PARAIBANO,PARAÍBA,Nazarezinho,Não_monitorado,Rio Piranhas,Superficial,Isolado,Nazarezinho
NOVA FLORESTA,2510105,PB,CURIMATAÚ OCIDENTAL,AGRESTE PARAIBANO,PARAÍBA,Nova Floresta,12067,Açude Boqueirão do Cais,Superficial,Integrado,Sistema Produtor Cuité- Nova Floresta
NOVA OLINDA,2510204,PB,PIANCÓ,SERTÃO PARAIBANO,PARAÍBA,Nova Olinda,12387,Açude Saco,Superficial,Isolado,Nova Olinda
NOVA PALMEIRA,2510303,PB,SERIDÓ ORIENTAL PARAIBANO,BORBOREMA,PARAÍBA,Nova Palmeira,12103,Açude Caraibeira,Superficial,Isolado,Nova Palmeira
OLHO D'ÁGUA,2510402,PB,PIANCÓ,SERTÃO PARAIBANO,PARAÍBA,Olho d'Água,Não_monitorado,Açude Genipapeiro,Superficial,Isolado,Olho d'Água
OLIVEDOS,2510501,PB,CURIMATAÚ OCIDENTAL,AGRESTE PARAIBANO,PARAÍBA,Olivedos,12172,Açude Boqueirão (Epitácio Pessoa),Superficial,Integrado,Integrado Cariri
OURO VELHO,2510600,PB,CARIRI OCIDENTAL,BORBOREMA,PARAÍBA,Ouro Velho,Não_monitorado,1 Poço Ouro Velho,Subterrâneo,Isolado,Isolado Ouro Velho
OURO VELHO,2510600,PB,CARIRI OCIDENTAL,BORBOREMA,PARAÍBA,Ouro Velho,12422,Açude São Paulo,Superficial,Integrado,Integrado Ouro Velho - Prata
PARARI,2510659,PB,CARIRI OCIDENTAL,BORBOREMA,PARAÍBA,Parari,Não_monitorado,1 Poço Amazonas (Rio Taperoá),Subterrâneo,Isolado,Parari
PARARI,2510659,PB,CARIRI OCIDENTAL,BORBOREMA,PARAÍBA,Parari,Não_monitorado,Açude Riacho do Balde,Superficial,Isolado,Parari
PASSAGEM,2510709,PB,PATOS,SERTÃO PARAIBANO,PARAÍBA,Passagem,Não_monitorado,1 Poço Passagem,Subterrâneo,Isolado,Passagem
PATOS,2510808,PB,PATOS,SERTÃO PARAIBANO,PARAÍBA,Patos,12143,Açude Coremas,Superficial,Integrado,Sistema Produtor Integrado Coremas- Sabugi
PATOS,2510808,PB,PATOS,SERTÃO PARAIBANO,PARAÍBA,Patos,12261,Mãe D'Água,Superficial,Integrado,Sistema Produtor Integrado Coremas- Sabugi
PATOS,2510808,PB,PATOS,SERTÃO PARAIBANO,PARAÍBA,Patos,12420,Açude São Mamede (Jatobá III),Superficial,Integrado,Sistema Produtor Integrado Coremas- Sabugi
PATOS,2510808,PB,PATOS,SERTÃO PARAIBANO,PARAÍBA,Patos,Não_monitorado,Açude Viados,Superficial,Integrado,Sistema Produtor Integrado Coremas- Sabugi
PATOS,2510808,PB,PATOS,SERTÃO PARAIBANO,PARAÍBA,Patos,12101,Barragem Capoeira,Superficial,Integrado,Sistema Produtor Integrado Coremas- Sabugi
PATOS,2510808,PB,PATOS,SERTÃO PARAIBANO,PARAÍBA,Patos,12165,Barragem Eng° Arcoverde,Superficial,Integrado,Sistema Produtor Integrado Coremas- Sabugi
PATOS,2510808,PB,PATOS,SERTÃO PARAIBANO,PARAÍBA,Patos,12179,Barragem Farinha,Superficial,Integrado,Sistema Produtor Integrado Coremas- Sabugi
PATOS,2510808,PB,PATOS,SERTÃO PARAIBANO,PARAÍBA,Patos,12226,Barragem Jatobá I,Superficial,Integrado,Sistema Produtor Integrado Coremas- Sabugi
PATOS,2510808,PB,PATOS,SERTÃO PARAIBANO,PARAÍBA,Patos,12396,Barragem Santa Luzia,Superficial,Integrado,Sistema Produtor Integrado Coremas- Sabugi
PAULISTA,2510907,PB,SOUSA,SERTÃO PARAIBANO,PARAÍBA,Paulista,Não_monitorado,Poço Amazonas (Rio Piranhas),Subterrâneo,Isolado,Paulista
PEDRA BRANCA,2511004,PB,ITAPORANGA,SERTÃO PARAIBANO,PARAÍBA,Pedra Branca,Não_monitorado,Açude Minador,Superficial,Isolado,Pedra Branca
PEDRA LAVRADA,2511103,PB,SERIDÓ ORIENTAL PARAIBANO,BORBOREMA,PARAÍBA,Pedra Lavrada,12172,Açude Boqueirão (Epitácio Pessoa),Superficial,Integrado,Integrado Cariri
PIANCÓ,2511301,PB,PIANCÓ,SERTÃO PARAIBANO,PARAÍBA,Piancó,12143,Açude Coremas,Superficial,Isolado,Piancó
PIANCÓ,2511301,PB,PIANCÓ,SERTÃO PARAIBANO,PARAÍBA,Piancó,12261,Mãe D'Água,Superficial,Isolado,Piancó
PICUÍ,2511400,PB,SERIDÓ ORIENTAL PARAIBANO,BORBOREMA,PARAÍBA,Picuí,12485,Açude Várzea Grande,Superficial,Isolado,Isolado Picuí
POCINHOS,2512002,PB,CURIMATAÚ OCIDENTAL,AGRESTE PARAIBANO,PARAÍBA,Pocinhos,12172,Açude Boqueirão (Epitácio Pessoa),Superficial,Integrado,Integrado Campina Grande (Boqueirão)
POÇO DANTAS,2512036,PB,CAJAZEIRAS,SERTÃO PARAIBANO,PARAÍBA,Poço Dantas,Não_monitorado,2 Poços Poços Dantas,Subterrâneo,Isolado,Poço Dantas
POÇO DE JOSÉ DE MOURA,2512077,PB,CAJAZEIRAS,SERTÃO PARAIBANO,PARAÍBA,Poço de José de Moura,Não_monitorado,3 Poços Poço de José de Moura,Subterrâneo,Isolado,Poço de José de Moura
POMBAL,2512101,PB,SOUSA,SERTÃO PARAIBANO,PARAÍBA,Pombal,Não_monitorado,Rio Piranhas,Superficial,Isolado,Pombal
PRATA,2512200,PB,CARIRI OCIDENTAL,BORBOREMA,PARAÍBA,Prata,Não_monitorado,1 Poço Prata,Subterrâneo,Isolado,Isolado Prata
PRATA,2512200,PB,CARIRI OCIDENTAL,BORBOREMA,PARAÍBA,Prata,12357,Açude Prata II,Superficial,Isolado,Isolado Prata
PRATA,2512200,PB,CARIRI OCIDENTAL,BORBOREMA,PARAÍBA,Prata,12422,Açude São Paulo,Superficial,Integrado,Integrado Ouro Velho - Prata
PRINCESA ISABEL,2512309,PB,SERRA DO TEIXEIRA,SERTÃO PARAIBANO,PARAÍBA,Princesa Isabel,12227,Açude Jatobá II,Superficial,Isolado,Princesa Isabel
PUXINANÃ,2512408,PB,CAMPINA GRANDE,AGRESTE PARAIBANO,PARAÍBA,Puxinanã,12278,Açude Milhã (Evaldo Gonçalves),Superficial,Isolado,Puxinanã
QUEIMADAS,2512507,PB,CAMPINA GRANDE,AGRESTE PARAIBANO,PARAÍBA,Queimadas,12172,Açude Boqueirão (Epitácio Pessoa),Superficial,Integrado,Integrado Campina Grande (Boqueirão)
QUIXABÁ,2512606,PB,PATOS,SERTÃO PARAIBANO,PARAÍBA,Quixabá,Não_monitorado,Açude Manoel Candeiras,Superficial,Isolado,Quixabá
REMÍGIO,2512705,PB,CURIMATAÚ OCIDENTAL,AGRESTE PARAIBANO,PARAÍBA,Remígio,Não_monitorado,Açude Vaca Brava I e II,Superficial,Integrado,Integrado Guarim/ Vaca Brava
RIACHÃO,2512747,PB,CURIMATAÚ ORIENTAL,AGRESTE PARAIBANO,PARAÍBA,Riachão,Não_monitorado,Açude Canafístula II,Superficial,Integrado,Sistema Produtor Integrado Cacimba de Várzea/ Canafístula II
RIACHÃO DO BACAMARTE,2512754,PB,ITABAIANA,AGRESTE PARAIBANO,PARAÍBA,Riachão do Bacamarte,12120,Açude Chã dos Pereiros,Superficial,Integrado,Sistema Produtor Integrado Chã dos Pereiros - Ingá
RIACHO DE SANTO ANTÔNIO,2512788,PB,CARIRI ORIENTAL,BORBOREMA,PARAÍBA,Riacho de Santo Antônio,12377,Açude Riacho Santo Antônio,Superficial,Isolado,Riacho de Santo Antônio
RIACHO DOS CAVALOS,2512804,PB,CATOLÉ DO ROCHA,SERTÃO PARAIBANO,PARAÍBA,Riacho dos Cavalos,12376,Açude Riacho dos Cavalos,Superficial,Isolado,Riacho dos Cavalos
SALGADINHO,2513000,PB,SERIDÓ OCIDENTAL PARAIBANO,BORBOREMA,PARAÍBA,Salgadinho,Não_monitorado,1 Poços Amazonas (Riacho Salgadinho),Subterrâneo,Isolado,Salgadinho
SALGADO DE SÃO FÉLIX,2513109,PB,ITABAIANA,AGRESTE PARAIBANO,PARAÍBA,Salgado de São Félix,Não_monitorado,2 Poços Amazonas (Rio Paraíba),Subterrâneo,Isolado,Salgado de São Félix
SALGADO DE SÃO FÉLIX,2513109,PB,ITABAIANA,AGRESTE PARAIBANO,PARAÍBA,Salgado de São Félix,Não_monitorado,Açude Acauã-Mirim,Superficial,Integrado,Sistema Integrado Acauã Leste
SANTA CECÍLIA,2513158,PB,UMBUZEIRO,AGRESTE PARAIBANO,PARAÍBA,Santa Cecília,,,,Isolado,Santa Cecília (de Umbuzeiro) - Sem sistema de abastecimento de água
SANTA CRUZ,2513208,PB,SOUSA,SERTÃO PARAIBANO,PARAÍBA,Santa Cruz,Não_monitorado,Açude Caldeirão,Superficial,Isolado,Santa Cruz
SANTA HELENA,2513307,PB,CAJAZEIRAS,SERTÃO PARAIBANO,PARAÍBA,Santa Helena,Não_monitorado,1 Poço Santa Helena,Subterrâneo,Isolado,Isolado Santa Helena - PB
SANTA HELENA,2513307,PB,CAJAZEIRAS,SERTÃO PARAIBANO,PARAÍBA,Santa Helena,12246,Açude Lagoa do Arroz,Superficial,Isolado,Isolado Santa Helena - PB
SANTA INĘS,2513356,PB,ITAPORANGA,SERTÃO PARAIBANO,PARAÍBA,Santa Inês,Não_monitorado,1 Poço Santa Inês,Subterrâneo,Isolado,Santa Inês - PB
SANTA LUZIA,2513406,PB,SERIDÓ OCIDENTAL PARAIBANO,BORBOREMA,PARAÍBA,Santa Luzia,12143,Açude Coremas,Superficial,Integrado,Sistema Produtor Integrado Coremas- Sabugi
SANTA LUZIA,2513406,PB,SERIDÓ OCIDENTAL PARAIBANO,BORBOREMA,PARAÍBA,Santa Luzia,12261,Mãe D'Água,Superficial,Integrado,Sistema Produtor Integrado Coremas- Sabugi
SANTA LUZIA,2513406,PB,SERIDÓ OCIDENTAL PARAIBANO,BORBOREMA,PARAÍBA,Santa Luzia,12420,Açude São Mamede (Jatobá III),Superficial,Integrado,Sistema Produtor Integrado Coremas- Sabugi
SANTA LUZIA,2513406,PB,SERIDÓ OCIDENTAL PARAIBANO,BORBOREMA,PARAÍBA,Santa Luzia,Não_monitorado,Açude Viados,Superficial,Integrado,Sistema Produtor Integrado Coremas- Sabugi
SANTA LUZIA,2513406,PB,SERIDÓ OCIDENTAL PARAIBANO,BORBOREMA,PARAÍBA,Santa Luzia,12101,Barragem Capoeira,Superficial,Integrado,Sistema Produtor Integrado Coremas- Sabugi
SANTA LUZIA,2513406,PB,SERIDÓ OCIDENTAL PARAIBANO,BORBOREMA,PARAÍBA,Santa Luzia,12165,Barragem Eng° Arcoverde,Superficial,Integrado,Sistema Produtor Integrado Coremas- Sabugi
SANTA LUZIA,2513406,PB,SERIDÓ OCIDENTAL PARAIBANO,BORBOREMA,PARAÍBA,Santa Luzia,12179,Barragem Farinha,Superficial,Integrado,Sistema Produtor Integrado Coremas- Sabugi
SANTA LUZIA,2513406,PB,SERIDÓ OCIDENTAL PARAIBANO,BORBOREMA,PARAÍBA,Santa Luzia,12226,Barragem Jatobá I,Superficial,Integrado,Sistema Produtor Integrado Coremas- Sabugi
SANTA LUZIA,2513406,PB,SERIDÓ OCIDENTAL PARAIBANO,BORBOREMA,PARAÍBA,Santa Luzia,12396,Barragem Santa Luzia,Superficial,Integrado,Sistema Produtor Integrado Coremas- Sabugi
SANTA TERESINHA,2513802,PB,PATOS,SERTÃO PARAIBANO,PARAÍBA,Santa Teresinha,12101,Barragem Capoeira,Superficial,Isolado,Santa Teresinha
SANTANA DE MANGUEIRA,2513505,PB,ITAPORANGA,SERTÃO PARAIBANO,PARAÍBA,Santana de Mangueira,Não_monitorado,1 Poço Amazonas (Riacho Santana),Subterrâneo,Isolado,Santana de Mangueira
SANTANA DOS GARROTES,2513604,PB,PIANCÓ,SERTÃO PARAIBANO,PARAÍBA,Santana dos Garrotes,12361,Barragem de Queimadas,Superficial,Isolado,Santana dos Garrotes
SANTO ANDRÉ,2513851,PB,CARIRI ORIENTAL,BORBOREMA,PARAÍBA,Santo André,,,,Isolado,Santo André - Sem sistema de abastecimento de água
SÃO BENTINHO,2513927,PB,SOUSA,SERTÃO PARAIBANO,PARAÍBA,São Bentinho,12261,Mãe D'Água,Superficial,Integrado,Sistema Produtor Integrado Coremas- Sabugi
SÃO BENTINHO,2513927,PB,SOUSA,SERTÃO PARAIBANO,PARAÍBA,São Bentinho,12143,Açude Coremas,Superficial,Integrado,Sistema Produtor Integrado Coremas- Sabugi
SÃO BENTINHO,2513927,PB,SOUSA,SERTÃO PARAIBANO,PARAÍBA,São Bentinho,12420,Açude São Mamede (Jatobá III),Superficial,Integrado,Sistema Produtor Integrado Coremas- Sabugi
SÃO BENTINHO,2513927,PB,SOUSA,SERTÃO PARAIBANO,PARAÍBA,São Bentinho,Não_monitorado,Açude Viados,Superficial,Integrado,Sistema Produtor Integrado Coremas- Sabugi
SÃO BENTINHO,2513927,PB,SOUSA,SERTÃO PARAIBANO,PARAÍBA,São Bentinho,12101,Barragem Capoeira,Superficial,Integrado,Sistema Produtor Integrado Coremas- Sabugi
SÃO BENTINHO,2513927,PB,SOUSA,SERTÃO PARAIBANO,PARAÍBA,São Bentinho,12165,Barragem Eng° Arcoverde,Superficial,Integrado,Sistema Produtor Integrado Coremas- Sabugi
SÃO BENTINHO,2513927,PB,SOUSA,SERTÃO PARAIBANO,PARAÍBA,São Bentinho,12179,Barragem Farinha,Superficial,Integrado,Sistema Produtor Integrado Coremas- Sabugi
SÃO BENTINHO,2513927,PB,SOUSA,SERTÃO PARAIBANO,PARAÍBA,São Bentinho,12226,Barragem Jatobá I,Superficial,Integrado,Sistema Produtor Integrado Coremas- Sabugi
SÃO BENTINHO,2513927,PB,SOUSA,SERTÃO PARAIBANO,PARAÍBA,São Bentinho,12396,Barragem Santa Luzia,Superficial,Integrado,Sistema Produtor Integrado Coremas- Sabugi
SÃO BENTO,2513901,PB,CATOLÉ DO ROCHA,SERTÃO PARAIBANO,PARAÍBA,São Bento,Não_monitorado,Rio Piranhas,Superficial,Integrado,Sistema Produtor Integrado São Bento
SÃO DOMINGOS,2513968,PB,SOUSA,SERTÃO PARAIBANO,PARAÍBA,São Domingos,Não_monitorado,2 Poço Amazonas,Subterrâneo,Isolado,São Domingos de Pombal
SÃO DOMINGOS DO CARIRI,2513943,PB,CARIRI ORIENTAL,BORBOREMA,PARAÍBA,São Domingos do Cariri,12406,Açude São Domingos,Superficial,Isolado,São Domingos do Cariri
SÃO FRANCISCO,2513984,PB,SOUSA,SERTÃO PARAIBANO,PARAÍBA,São Francisco,12408,Açude São Francisco,Superficial,Isolado,São Francisco
SÃO JOÃO DO CARIRI,2514008,PB,CARIRI ORIENTAL,BORBOREMA,PARAÍBA,São João do Cariri,12134,Açude Cordeiro,Superficial,Integrado,Integrado Congo
SÃO JOÃO DO RIO DO PEIXE,2500700,PB,CAJAZEIRAS,SERTÃO PARAIBANO,PARAÍBA,São João do Rio do Peixe,Não_monitorado,1 Poço São João do Rio do Peixe 2,Subterrâneo,Isolado,São João do Rio do Peixe
SÃO JOÃO DO RIO DO PEIXE,2500700,PB,CAJAZEIRAS,SERTÃO PARAIBANO,PARAÍBA,São João do Rio do Peixe,Não_monitorado,Açude Chupadouro I,Superficial,Isolado,São João do Rio do Peixe
SÃO JOÃO DO TIGRE,2514107,PB,CARIRI OCIDENTAL,BORBOREMA,PARAÍBA,São João do Tigre,Não_monitorado,1 Poço São João do Tigre,Subterrâneo,Isolado,São João do Tigre
SÃO JOSÉ DA LAGOA TAPADA,2514206,PB,SOUSA,SERTÃO PARAIBANO,PARAÍBA,São José da Lagoa Tapada,Não_monitorado,Açude Genipapeiro,Superficial,Isolado,São José da Lagoa Tapada
SÃO JOSÉ DE CAIANA,2514305,PB,ITAPORANGA,SERTÃO PARAIBANO,PARAÍBA,São José de Caiana,12331,Açude Pimenta,Superficial,Isolado,São José de Caiana
SÃO JOSÉ DE ESPINHARAS,2514404,PB,PATOS,SERTÃO PARAIBANO,PARAÍBA,São José de Espinharas,12143,Açude Coremas,Superficial,Integrado,Sistema Produtor Integrado Coremas- Sabugi
SÃO JOSÉ DE ESPINHARAS,2514404,PB,PATOS,SERTÃO PARAIBANO,PARAÍBA,São José de Espinharas,12261,Mãe D'Água,Superficial,Integrado,Sistema Produtor Integrado Coremas- Sabugi
SÃO JOSÉ DE ESPINHARAS,2514404,PB,PATOS,SERTÃO PARAIBANO,PARAÍBA,São José de Espinharas,12420,Açude São Mamede (Jatobá III),Superficial,Integrado,Sistema Produtor Integrado Coremas- Sabugi
SÃO JOSÉ DE ESPINHARAS,2514404,PB,PATOS,SERTÃO PARAIBANO,PARAÍBA,São José de Espinharas,Não_monitorado,Açude Viados,Superficial,Integrado,Sistema Produtor Integrado Coremas- Sabugi
SÃO JOSÉ DE ESPINHARAS,2514404,PB,PATOS,SERTÃO PARAIBANO,PARAÍBA,São José de Espinharas,12101,Barragem Capoeira,Superficial,Integrado,Sistema Produtor Integrado Coremas- Sabugi
SÃO JOSÉ DE ESPINHARAS,2514404,PB,PATOS,SERTÃO PARAIBANO,PARAÍBA,São José de Espinharas,12165,Barragem Eng° Arcoverde,Superficial,Integrado,Sistema Produtor Integrado Coremas- Sabugi
SÃO JOSÉ DE ESPINHARAS,2514404,PB,PATOS,SERTÃO PARAIBANO,PARAÍBA,São José de Espinharas,12179,Barragem Farinha,Superficial,Integrado,Sistema Produtor Integrado Coremas- Sabugi
SÃO JOSÉ DE ESPINHARAS,2514404,PB,PATOS,SERTÃO PARAIBANO,PARAÍBA,São José de Espinharas,12226,Barragem Jatobá I,Superficial,Integrado,Sistema Produtor Integrado Coremas- Sabugi
SÃO JOSÉ DE ESPINHARAS,2514404,PB,PATOS,SERTÃO PARAIBANO,PARAÍBA,São José de Espinharas,12396,Barragem Santa Luzia,Superficial,Integrado,Sistema Produtor Integrado Coremas- Sabugi
SÃO JOSÉ DE PIRANHAS,2514503,PB,CAJAZEIRAS,SERTÃO PARAIBANO,PARAÍBA,São José de Piranhas,12413,Barragem São José,Superficial,Isolado,São José de Piranhas
SÃO JOSÉ DE PRINCESA,2514552,PB,SERRA DO TEIXEIRA,SERTÃO PARAIBANO,PARAÍBA,São José de Princesa,,,,Isolado,São José de Princesa - Sem Informação
SÃO JOSÉ DO BONFIM,2514602,PB,PATOS,SERTÃO PARAIBANO,PARAÍBA,São José do Bonfim,Não_monitorado,Poços São José do Bonfim,Subterrâneo,Isolado,São José do Bonfim
SÃO JOSÉ DO BREJO DO CRUZ,2514651,PB,CATOLÉ DO ROCHA,SERTÃO PARAIBANO,PARAÍBA,São José do Brejo do Cruz,,,,Isolado,São José do Brejo do Cruz - Sem sistema de abastecimento de água
SÃO JOSÉ DO SABUGI,2514701,PB,SERIDÓ OCIDENTAL PARAIBANO,BORBOREMA,PARAÍBA,São José do Sabugi,12261,Mãe D'Água,Superficial,Integrado,Sistema Produtor Integrado Coremas- Sabugi
SÃO JOSÉ DO SABUGI,2514701,PB,SERIDÓ OCIDENTAL PARAIBANO,BORBOREMA,PARAÍBA,São José do Sabugi,12143,Açude Coremas,Superficial,Integrado,Sistema Produtor Integrado Coremas- Sabugi
SÃO JOSÉ DO SABUGI,2514701,PB,SERIDÓ OCIDENTAL PARAIBANO,BORBOREMA,PARAÍBA,São José do Sabugi,12420,Açude São Mamede (Jatobá III),Superficial,Integrado,Sistema Produtor Integrado Coremas- Sabugi
SÃO JOSÉ DO SABUGI,2514701,PB,SERIDÓ OCIDENTAL PARAIBANO,BORBOREMA,PARAÍBA,São José do Sabugi,Não_monitorado,Açude Viados,Superficial,Integrado,Sistema Produtor Integrado Coremas- Sabugi
SÃO JOSÉ DO SABUGI,2514701,PB,SERIDÓ OCIDENTAL PARAIBANO,BORBOREMA,PARAÍBA,São José do Sabugi,12101,Barragem Capoeira,Superficial,Integrado,Sistema Produtor Integrado Coremas- Sabugi
SÃO JOSÉ DO SABUGI,2514701,PB,SERIDÓ OCIDENTAL PARAIBANO,BORBOREMA,PARAÍBA,São José do Sabugi,12165,Barragem Eng° Arcoverde,Superficial,Integrado,Sistema Produtor Integrado Coremas- Sabugi
SÃO JOSÉ DO SABUGI,2514701,PB,SERIDÓ OCIDENTAL PARAIBANO,BORBOREMA,PARAÍBA,São José do Sabugi,12179,Barragem Farinha,Superficial,Integrado,Sistema Produtor Integrado Coremas- Sabugi
SÃO JOSÉ DO SABUGI,2514701,PB,SERIDÓ OCIDENTAL PARAIBANO,BORBOREMA,PARAÍBA,São José do Sabugi,12226,Barragem Jatobá I,Superficial,Integrado,Sistema Produtor Integrado Coremas- Sabugi
SÃO JOSÉ DO SABUGI,2514701,PB,SERIDÓ OCIDENTAL PARAIBANO,BORBOREMA,PARAÍBA,São José do Sabugi,12396,Barragem Santa Luzia,Superficial,Integrado,Sistema Produtor Integrado Coremas- Sabugi
SÃO JOSÉ DOS CORDEIROS,2514800,PB,CARIRI OCIDENTAL,BORBOREMA,PARAÍBA,São José dos Cordeiros,12417,Açude São José III,Superficial,Isolado,São José dos Cordeiros
SÃO MAMEDE,2514909,PB,SERIDÓ OCIDENTAL PARAIBANO,BORBOREMA,PARAÍBA,São Mamede,12143,Açude Coremas,Superficial,Integrado,Sistema Produtor Integrado Coremas- Sabugi
SÃO MAMEDE,2514909,PB,SERIDÓ OCIDENTAL PARAIBANO,BORBOREMA,PARAÍBA,São Mamede,12261,Mãe D'Água,Superficial,Integrado,Sistema Produtor Integrado Coremas- Sabugi
SÃO MAMEDE,2514909,PB,SERIDÓ OCIDENTAL PARAIBANO,BORBOREMA,PARAÍBA,São Mamede,12420,Açude São Mamede (Jatobá III),Superficial,Integrado,Sistema Produtor Integrado Coremas- Sabugi
SÃO MAMEDE,2514909,PB,SERIDÓ OCIDENTAL PARAIBANO,BORBOREMA,PARAÍBA,São Mamede,Não_monitorado,Açude Viados,Superficial,Integrado,Sistema Produtor Integrado Coremas- Sabugi
SÃO MAMEDE,2514909,PB,SERIDÓ OCIDENTAL PARAIBANO,BORBOREMA,PARAÍBA,São Mamede,12101,Barragem Capoeira,Superficial,Integrado,Sistema Produtor Integrado Coremas- Sabugi
SÃO MAMEDE,2514909,PB,SERIDÓ OCIDENTAL PARAIBANO,BORBOREMA,PARAÍBA,São Mamede,12165,Barragem Eng° Arcoverde,Superficial,Integrado,Sistema Produtor Integrado Coremas- Sabugi
SÃO MAMEDE,2514909,PB,SERIDÓ OCIDENTAL PARAIBANO,BORBOREMA,PARAÍBA,São Mamede,12179,Barragem Farinha,Superficial,Integrado,Sistema Produtor Integrado Coremas- Sabugi
SÃO MAMEDE,2514909,PB,SERIDÓ OCIDENTAL PARAIBANO,BORBOREMA,PARAÍBA,São Mamede,12226,Barragem Jatobá I,Superficial,Integrado,Sistema Produtor Integrado Coremas- Sabugi
SÃO MAMEDE,2514909,PB,SERIDÓ OCIDENTAL PARAIBANO,BORBOREMA,PARAÍBA,São Mamede,12396,Barragem Santa Luzia,Superficial,Integrado,Sistema Produtor Integrado Coremas- Sabugi
SÃO SEBASTIÃO DO UMBUZEIRO,2515203,PB,CARIRI OCIDENTAL,BORBOREMA,PARAÍBA,São Sebastião do Umbuzeiro,12400,Barragem Santo Antônio,Superficial,Isolado,São Sebastião do Umbuzeiro
SERIDÓ,2515401,PB,SERIDÓ ORIENTAL PARAIBANO,BORBOREMA,PARAÍBA,Seridó,12172,Açude Boqueirão (Epitácio Pessoa),Superficial,Integrado,Integrado Cariri
SERRA BRANCA,2515500,PB,CARIRI OCIDENTAL,BORBOREMA,PARAÍBA,Serra Branca,12134,Açude Cordeiro,Superficial,Integrado,Integrado Congo
SERRA GRANDE,2515708,PB,ITAPORANGA,SERTÃO PARAIBANO,PARAÍBA,Serra Grande,12086,Açude Cafundó,Superficial,Isolado,Serra Grande
SOLÂNEA,2516003,PB,CURIMATAÚ ORIENTAL,AGRESTE PARAIBANO,PARAÍBA,Solânea,Não_monitorado,Açude Canafístula II,Superficial,Integrado,Sistema Produtor Integrado Cacimba de Várzea/ Canafístula II
SOLEDADE,2516102,PB,CURIMATAÚ OCIDENTAL,AGRESTE PARAIBANO,PARAÍBA,Soledade,12172,Açude Boqueirão (Epitácio Pessoa),Superficial,Integrado,Integrado Cariri
SOSSĘGO,2516151,PB,CURIMATAÚ OCIDENTAL,AGRESTE PARAIBANO,PARAÍBA,Sossêgo,,,,Isolado,Sossêgo - Sem sistema de abastecimento de água
